TimeStamp,ch1,ch2,ch3,ch4
2019522.9785,20601.75,9737.87,14684.96,41429.62
2019522.9825,20619.78,9736.92,14674.33,41413.93
2019522.9865,20601.66,9735.44,14674.38,41416.36
2019522.9905,20587.59,9739.83,14688.88,41432.81
2019522.9944,20578.43,9746.98,14701.51,41444.31
2019522.9984,20598.84,9748.17,14693.02,41433.05
2019523.0024,20618.35,9744.45,14679.72,41418.51
2019523.0064,20609.67,9740.88,14683.92,41426.14
2019523.0104,20585.01,9743.83,14690.21,41431.34
2019523.0144,20567.47,9745.6,14692.31,41429.0
2019523.0184,20590.59,9743.93,14682.1,41413.5
2019523.0224,20612.19,9739.69,14671.28,41400.2
2019523.0264,20595.17,9733.54,14669.23,41399.53
2019523.0304,20573.95,9734.58,14679.77,41411.83
2019523.0344,20567.32,9738.02,14692.98,41423.95
2019523.0384,20595.46,9741.21,14688.78,41420.37
2019523.0424,20608.86,9739.3,14672.09,41402.11
2019523.0464,20590.83,9736.92,14675.76,41403.44
2019523.0504,20575.34,9743.17,14687.35,41418.13
2019523.0544,20570.09,9747.03,14695.55,41430.67
2019523.0584,20603.99,9748.36,14691.45,41429.57
2019523.0624,20621.49,9748.89,14680.1,41415.7
2019523.0664,20603.09,9735.11,14677.1,41413.5
2019523.0704,20582.96,9731.68,14686.54,41426.09
2019523.0744,20573.05,9739.3,14694.98,41436.72
2019523.0784,20606.95,9749.22,14695.22,41433.53
2019523.0824,20618.16,9747.94,14677.43,41411.07
2019523.0864,20595.89,9741.69,14672.9,41409.35
2019523.0904,20583.78,9750.27,14688.78,41430.67
2019523.0944,20571.19,9748.51,14696.31,41438.68
2019523.0984,20596.55,9747.12,14689.02,41430.53
2019523.1024,20613.1,9746.98,14673.66,41412.6
2019523.1064,20601.61,9750.18,14678.19,41417.6
2019523.1104,20587.97,9750.08,14690.45,41434.01
2019523.1144,20585.35,9755.09,14704.23,41448.41
2019523.1184,20608.38,9755.42,14697.74,41435.49
2019523.1224,20615.53,9746.12,14679.24,41414.46
2019523.1264,20596.75,9739.11,14678.67,41417.32
2019523.1304,20586.73,9745.84,14695.22,41436.87
2019523.1344,20582.15,9745.5,14703.23,41449.41
2019523.1384,20608.43,9750.32,14697.36,41442.78
2019523.1424,20627.21,9753.13,14691.31,41430.76
2019523.1464,20604.09,9750.56,14694.5,41428.43
2019523.1504,20589.59,9756.85,14709.86,41443.16
2019523.1544,20584.4,9760.76,14717.63,41448.98
2019523.1584,20603.33,9756.04,14702.42,41431.53
2019523.1624,20619.35,9748.98,14685.54,41413.79
2019523.1664,20609.76,9755.9,14688.21,41419.37
2019523.1704,20599.56,9761.57,14702.04,41434.96
2019523.1744,20587.54,9758.43,14706.04,41438.39
2019523.1784,20605.76,9760.67,14699.41,41426.85
2019523.1824,20616.77,9752.27,14684.58,41409.74
2019523.1864,20606.19,9760.19,14695.79,41420.27
2019523.1904,20597.13,9764.24,14707.85,41441.49
2019523.1944,20591.26,9756.38,14709.67,41450.74
2019523.1984,20594.5,9738.59,14677.38,41417.27
2019523.2024,20598.22,9719.99,14648.15,41384.23
2019523.2064,20578.67,9716.32,14647.34,41381.27
2019523.2104,20557.55,9718.56,14658.41,41395.0
2019523.2144,20557.6,9731.25,14677.67,41413.5
2019523.2184,20577.0,9733.06,14668.42,41404.3
2019523.2224,20595.98,9727.77,14655.59,41391.0
2019523.2264,20586.54,9727.38,14663.36,41397.2
2019523.2304,20576.91,9734.73,14681.77,41416.98
2019523.2344,20565.04,9730.63,14687.02,41424.09
2019523.2384,20591.17,9732.68,14677.38,41415.6
2019523.2424,20603.66,9727.67,14663.75,41397.05
2019523.2464,20588.78,9725.52,14667.99,41402.73
2019523.2504,20577.15,9736.92,14680.96,41421.85
2019523.2544,20568.56,9734.35,14685.73,41428.05
2019523.2584,20593.03,9729.43,14676.29,41415.6
2019523.2624,20610.43,9721.18,14657.12,41396.86
2019523.2664,20597.22,9715.27,14655.64,41398.1
2019523.2704,20581.49,9717.13,14664.08,41408.83
2019523.2744,20578.43,9724.05,14676.0,41422.04
2019523.2784,20604.04,9723.9,14669.71,41414.17
2019523.2824,20616.49,9718.71,14655.26,41396.38
2019523.2864,20596.03,9715.94,14657.07,41395.72
2019523.2904,20579.29,9721.42,14669.94,41413.5
2019523.2944,20580.34,9735.49,14692.02,41437.58
2019523.2984,20598.8,9731.68,14687.44,41429.95
2019523.3024,20606.23,9722.81,14672.71,41410.36
2019523.3064,20594.79,9726.67,14681.29,41417.37
2019523.3104,20580.82,9732.82,14696.65,41430.76
2019523.3144,20569.99,9737.64,14703.9,41435.49
2019523.3184,20595.12,9736.78,14692.12,41424.99
2019523.3224,20607.86,9727.77,14673.14,41407.97
2019523.3264,20590.26,9723.47,14668.28,41405.73
2019523.3304,20579.34,9727.15,14680.77,41421.37
2019523.3344,20577.15,9733.92,14698.7,41439.44
2019523.3384,20592.98,9725.71,14691.69,41426.81
2019523.3424,20606.0,9725.76,14674.95,41408.69
2019523.3464,20595.55,9728.62,14676.19,41411.83
2019523.3504,20580.34,9729.91,14685.01,41422.28
2019523.3544,20567.56,9729.15,14687.97,41424.95
2019523.3584,20586.45,9728.29,14680.15,41412.41
2019523.3624,20606.81,9723.47,14671.57,41402.44
2019523.3664,20599.8,9719.18,14676.52,41411.55
2019523.3704,20587.35,9722.62,14687.25,41426.23
2019523.3744,20581.39,9739.73,14704.94,41445.4
2019523.3784,20596.89,9736.49,14697.46,41434.91
2019523.3824,20608.86,9729.29,14682.34,41416.98
2019523.3864,20600.51,9731.2,14688.83,41423.95
2019523.3904,20587.21,9736.35,14702.8,41439.97
2019523.3944,20576.67,9737.45,14703.85,41441.11
2019523.3984,20598.8,9741.83,14696.74,41432.19
2019523.4024,20612.1,9736.25,14688.06,41418.75
2019523.4064,20594.65,9732.01,14686.87,41416.84
2019523.4104,20580.01,9728.62,14695.17,41423.23
2019523.4144,20573.67,9730.39,14700.7,41430.53
2019523.4184,20600.13,9738.06,14700.46,41430.76
2019523.4224,20617.63,9737.11,14692.98,41424.57
2019523.4264,20600.85,9731.01,14690.73,41426.0
2019523.4304,20588.92,9733.54,14701.32,41440.4
2019523.4344,20575.29,9731.58,14701.46,41439.92
2019523.4384,20589.59,9729.72,14683.53,41419.46
2019523.4424,20603.71,9726.43,14666.85,41407.54
2019523.4464,20590.5,9723.09,14667.13,41413.22
2019523.4504,20574.19,9724.48,14670.18,41421.9
2019523.4544,20569.57,9727.62,14680.67,41434.58
2019523.4584,20585.73,9726.33,14678.77,41427.47
2019523.4624,20599.99,9722.71,14669.18,41417.08
2019523.4664,20589.45,9716.23,14668.08,41419.75
2019523.4704,20574.05,9715.84,14676.05,41425.81
2019523.4744,20568.75,9715.84,14684.73,41432.1
2019523.4784,20588.88,9718.47,14681.1,41426.47
2019523.4824,20599.84,9716.23,14666.85,41413.79
2019523.4864,20593.26,9720.14,14671.47,41418.51
2019523.4904,20581.3,9720.95,14680.01,41427.28
2019523.4944,20566.85,9719.85,14679.48,41427.33
2019523.4984,20589.4,9720.71,14673.09,41421.85
2019523.5024,20599.08,9710.5,14658.41,41405.92
2019523.5064,20581.15,9703.88,14652.06,41402.49
2019523.5104,20571.47,9713.84,14663.51,41412.41
2019523.5144,20574.33,9720.04,14676.62,41423.37
2019523.5184,20588.45,9713.65,14666.75,41409.12
2019523.5223,20591.5,9701.87,14643.1,41387.32
2019523.5263,20577.29,9704.07,14639.86,41387.94
2019523.5303,20563.08,9707.74,14650.78,41398.58
2019523.5343,20552.26,9712.03,14655.54,41402.63
2019523.5383,20571.04,9718.32,14655.21,41398.1
2019523.5423,20574.86,9703.69,14631.8,41373.88
2019523.5463,20567.09,9710.98,14634.04,41376.79
2019523.5503,20560.93,9722.42,14641.67,41387.13
2019523.5543,20552.69,9726.81,14648.39,41392.86
2019523.5583,20551.97,9707.79,14616.78,41359.57
2019523.5623,20562.13,9710.98,14601.14,41341.83
2019523.5663,20551.02,9708.64,14598.32,41340.88
2019523.5703,20536.28,9706.31,14593.51,41338.93
2019523.5743,20531.47,9708.36,14596.42,41342.79
2019523.5783,20546.49,9702.35,14581.78,41330.96
2019523.5823,20550.4,9691.19,14559.46,41308.65
2019523.5863,20538.62,9691.67,14558.79,41308.5
2019523.5903,20526.36,9699.39,14567.28,41317.75
2019523.5943,20522.17,9699.87,14573.39,41325.05
2019523.5983,20538.86,9693.81,14561.32,41308.6
2019523.6023,20547.3,9689.71,14546.78,41292.62
2019523.6063,20530.89,9686.52,14544.06,41292.24
2019523.6103,20520.12,9690.81,14556.7,41304.78
2019523.6143,20517.21,9698.15,14574.72,41320.66
2019523.6183,20528.7,9691.91,14566.71,41310.12
2019523.6223,20547.92,9697.82,14566.09,41305.5
2019523.6263,20537.47,9702.64,14574.15,41312.46
2019523.6303,20529.56,9713.13,14594.51,41334.73
2019523.6343,20531.61,9716.27,14606.72,41350.18
2019523.6383,20558.17,9723.71,14605.24,41346.55
2019523.6423,20573.0,9723.14,14598.56,41339.21
2019523.6463,20565.18,9728.72,14608.77,41349.56
2019523.6503,20558.03,9731.48,14631.75,41370.59
2019523.6543,20554.97,9741.5,14651.78,41389.33
2019523.6583,20574.24,9743.55,14643.34,41379.6
2019523.6623,20588.54,9739.35,14633.85,41369.54
2019523.6663,20572.62,9735.25,14634.75,41371.54
2019523.6703,20559.27,9735.87,14643.58,41384.8
2019523.6743,20555.31,9735.06,14651.92,41398.34
2019523.6783,20580.77,9735.97,14647.87,41392.9
2019523.6823,20599.75,9729.39,14637.76,41383.51
2019523.6863,20590.83,9731.87,14646.15,41393.52
2019523.6903,20580.87,9736.44,14660.31,41406.68
2019523.6943,20577.48,9745.74,14676.05,41421.61
2019523.6983,20587.92,9738.16,14663.89,41410.36
2019523.7023,20593.93,9730.72,14644.91,41390.71
2019523.7063,20583.87,9729.82,14654.92,41399.72
2019523.7103,20574.29,9738.73,14669.37,41417.79
2019523.7143,20564.75,9734.87,14669.56,41421.51
2019523.7183,20582.63,9732.15,14663.6,41411.31
2019523.7223,20588.21,9719.33,14649.25,41390.95
2019523.7263,20579.05,9713.13,14650.97,41392.57
2019523.7303,20567.23,9715.37,14658.17,41403.54
2019523.7343,20561.41,9717.32,14664.13,41412.88
2019523.7383,20580.82,9715.42,14654.54,41406.92
2019523.7423,20591.93,9711.03,14641.0,41392.71
2019523.7463,20572.47,9709.88,14642.76,41391.47
2019523.7503,20566.61,9727.62,14665.56,41413.36
2019523.7543,20558.65,9733.63,14680.2,41424.57
2019523.7583,20575.72,9731.82,14672.09,41414.89
2019523.7623,20597.32,9730.48,14661.22,41406.68
2019523.7663,20590.93,9727.29,14664.32,41411.55
2019523.7703,20578.86,9728.86,14676.52,41427.76
2019523.7743,20569.23,9730.53,14684.25,41437.49
2019523.7783,20587.49,9728.48,14675.76,41425.38
2019523.7823,20598.22,9718.51,14664.51,41411.12
2019523.7863,20590.16,9717.18,14670.9,41416.32
2019523.7903,20570.76,9721.71,14687.59,41432.05
