TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019528.0864,392.291,815.875,383.263,15015.0,831.25,-14481.25,842.08,-639.92,-331.36
2019528.1364,361.425,878.888,373.747,901.25,-6921.25,2213.75,845.12,-639.92,-322.24
2019528.1864,395.707,833.077,379.603,-10403.75,-11672.5,14875.0,836.0,-653.6,-319.2
2019528.2364,446.825,791.475,388.692,-11086.25,-15758.75,19976.25,836.0,-647.52,-340.48
2019528.2864,486.231,777.567,389.424,-10027.5,-16756.25,15618.75,831.44,-638.4,-332.88
2019528.3364,557.967,747.189,397.11,-822.5,-10176.25,-192.5,811.68,-639.92,-340.48
2019528.3864,517.402,777.445,382.47,4978.75,-1837.5,-11095.0,831.44,-633.84,-320.72
2019528.4364,478.301,787.937,366.854,6518.75,1505.0,-10097.5,813.2,-633.84,-326.8
2019528.4864,453.047,802.15,361.913,4777.5,2143.75,-5442.5,834.48,-649.04,-323.76
2019528.5364,455.487,807.701,370.453,3386.25,1986.25,-4585.0,840.56,-644.48,-326.8
2019528.5864,431.819,790.011,380.823,455.0,-2353.75,-2677.5,811.68,-647.52,-326.8
2019528.6364,416.569,795.501,380.152,-393.75,-8907.5,-1347.5,831.44,-642.96,-325.28
2019528.6864,420.046,793.061,382.348,542.5,-13361.25,1741.25,832.96,-639.92,-335.92
2019528.7364,481.9,784.155,396.073,-175.0,-15995.0,12005.0,826.88,-647.52,-325.28
2019528.7864,508.801,752.984,390.461,5136.25,-15085.0,9152.5,816.24,-639.92,-343.52
2019528.8364,512.339,787.266,362.157,14192.5,-8163.75,2502.5,819.28,-632.32,-307.04
2019528.8864,498.736,787.632,320.738,13956.25,1102.5,-1023.75,825.36,-633.84,-317.68
2019528.9364,475.617,830.82,307.074,10552.5,5031.25,-665.0,811.68,-635.36,-322.24
2019528.9864,472.079,856.074,324.154,-4410.0,8146.25,5267.5,814.72,-646.0,-293.36
2019529.0364,448.838,829.356,350.506,-12215.0,6728.75,4917.5,828.4,-632.32,-325.28
2019529.0864,462.807,770.613,381.616,-14271.25,3535.0,4891.25,799.52,-635.36,-323.76
2019529.1363,467.138,761.097,387.411,-7542.5,3211.25,2730.0,811.68,-638.4,-323.76
2019529.1864,477.508,788.608,376.553,-6562.5,857.5,227.5,831.44,-630.8,-337.44
2019529.2364,490.806,756.888,362.706,-1050.0,3106.25,-7516.25,793.44,-649.04,-325.28
2019529.2864,504.409,808.067,384.849,-4672.5,3867.5,-5521.25,819.28,-641.44,-325.28
2019529.3364,506.361,763.232,391.254,-8330.0,5678.75,-691.25,817.76,-650.56,-335.92
2019529.3864,463.6,754.814,390.156,-4550.0,4366.25,-2642.5,814.72,-627.76,-329.84
2019529.4364,432.673,775.005,387.106,140.0,-3788.75,-1881.25,823.84,-642.96,-337.44
2019529.4864,460.611,768.844,382.043,3237.5,-8960.0,1085.0,834.48,-633.84,-340.48
2019529.5364,481.9,780.129,376.309,5425.0,-9773.75,-586.25,804.08,-635.36,-332.88
2019529.5864,503.311,786.961,355.63,9826.25,-7901.25,-3447.5,816.24,-642.96,-332.88
2019529.6364,501.847,815.082,340.258,8741.25,-5180.0,-5783.75,808.64,-632.32,-319.2
2019529.6864,496.967,828.624,336.476,4768.75,-113.75,-6571.25,819.28,-632.32,-322.24
2019529.7364,478.057,803.065,347.944,2502.5,3570.0,-5022.5,813.2,-639.92,-325.28
2019529.7864,462.441,799.527,347.151,4278.75,4996.25,-5416.25,822.32,-630.8,-316.16
2019529.8364,429.196,810.202,339.099,5381.25,4935.0,-4646.25,826.88,-639.92,-331.36
2019529.8864,408.09,833.931,337.452,4357.5,3088.75,-2135.0,826.88,-647.52,-320.72
2019529.9364,420.473,838.323,354.471,-2546.25,-962.5,2826.25,834.48,-635.36,-313.12
2019529.9864,436.272,808.189,378.017,-4935.0,-1557.5,1513.75,825.36,-633.84,-317.68
2019530.0364,438.102,796.782,390.156,-6072.5,-2808.75,-1146.25,814.72,-644.48,-316.16
2019530.0864,439.993,793.671,394.975,-5381.25,-6396.25,-5818.75,851.2,-653.6,-317.68
2019530.1364,438.346,789.767,391.376,-4025.0,-7752.5,-6300.0,823.84,-633.84,-328.32
2019530.1864,460.733,776.408,394.853,-1198.75,-5818.75,-4488.75,828.4,-652.08,-320.72
2019530.2364,470.493,784.094,389.729,980.0,-1662.5,-1898.75,843.6,-649.04,-323.76
2019530.2864,458.476,805.871,389.18,385.0,4401.25,-113.75,837.52,-639.92,-325.28
2019530.3364,445.239,800.625,399.306,-2721.25,4217.5,2380.0,834.48,-630.8,-337.44
2019530.3864,438.59,803.919,402.966,-3972.5,1373.75,1793.75,828.4,-653.6,-332.88
2019530.4363,443.287,772.321,413.336,-3088.75,-3062.5,455.0,831.44,-636.88,-317.68
2019530.4864,448.594,770.735,408.944,542.5,-4917.5,87.5,840.56,-639.92,-340.48
2019530.5364,455.182,785.192,385.337,4147.5,-5950.0,-2248.75,828.4,-630.8,-329.84
2019530.5864,448.777,810.934,364.597,5223.75,-3587.5,-2992.5,840.56,-638.4,-329.84
2019530.6364,452.742,812.703,354.349,4226.25,-1627.5,-1382.5,845.12,-646.0,-326.8
2019530.6864,448.35,818.986,347.944,3132.5,1942.5,-1111.25,831.44,-642.96,-326.8
2019530.7364,438.956,816.241,349.774,2581.25,3220.0,-1741.25,834.48,-639.92,-325.28
2019530.7864,424.804,822.768,346.846,4392.5,4287.5,-2975.0,851.2,-630.8,-325.28
2019530.8364,415.349,838.689,349.164,647.5,708.75,-5048.75,834.48,-633.84,-302.48
2019530.8864,410.835,822.097,347.151,262.5,-866.25,-6930.0,849.68,-635.36,-320.72
